yue_form	zh_equiv_trad	jyutping	english	confidence	source
冇	沒有	mou5	to not have	high	en.wiktionary 冇
係	是	hai6	to be (copula)	high	en.wiktionary 係
喺	在	hai2	at; in; located at	high	en.wiktionary 喺
嘅	的	ge3	possessive/attributive particle	high	en.wiktionary 嘅
唔	不	m4	not	high	en.wiktionary 唔
嚟	來	lai4	to come	high	en.wiktionary 嚟
咗	了	zo2	perfective aspect particle	high	en.wiktionary 咗
乜	什麼	mat1	what	high	en.wiktionary 乜
乜嘢	什麼	mat1 je5	what (thing)	high	en.wiktionary 乜
啲	些	di1	some; a few; plural marker	high	en.wiktionary 啲
嘢	東西	je5	thing; stuff	high	en.wiktionary 嘢
攰	累	gui6	tired; exhausted	high	en.wiktionary 攰
靚	漂亮	leng3	pretty; good-looking	high	en.wiktionary 靚
鍾意	喜歡	zung1 ji3	to like	high	en.wiktionary 鍾意
食	吃	sik6	to eat	high	en.wiktionary 食
飲	喝	jam2	to drink	high	en.wiktionary 飲
畀	給	bei2	to give	high	en.wiktionary 畀
睇	看	tai2	to look; to watch; to read	high	en.wiktionary 睇
慳	省	haan1	to save; to economize	high	en.wiktionary 慳
傾偈	聊天	king1 gai2	to chat	high	en.wiktionary 傾偈
點解	為什麼	dim2 gaai2	why	high	en.wiktionary 點解
諗	想	nam2	to think	high	en.wiktionary 諗
搵	找	wan2	to look for; to find	high	en.wiktionary 搵
攞	拿	lo2	to take; to fetch	high	en.wiktionary 攞
嬲	生氣	nau1	to be angry	high	en.wiktionary 嬲
佢	他	keoi5	he; she; it (3rd person)	high	en.wiktionary 佢
瞓	睡覺	fan3	to sleep	high	en.wiktionary 瞓
講	說	gong2	to say; to speak	medium	en.wiktionary 講
行	走	haang4	to walk	high	en.wiktionary 行
嗌	叫	aai3	to shout; to call; to order (food)	high	en.wiktionary 嗌
企	站	kei5	to stand	high	en.wiktionary 企
細	小	sai3	small	high	en.wiktionary 細
平	便宜	peng4	cheap; inexpensive	high	en.wiktionary 平
凍	冷	dung3	cold	high	en.wiktionary 凍
嘥	浪費	saai1	to waste	high	en.wiktionary 嘥
返	回	faan1	to return; to go back	high	en.wiktionary 返
仲	還	zung6	still; yet; even more	high	en.wiktionary 仲
咁	這麼	gam3	so; such; this much	high	en.wiktionary 咁
嗰	那	go2	that	high	en.wiktionary 嗰
呢	這	ni1	this	high	en.wiktionary 呢
嗰個	那個	go2 go3	that one	high	en.wiktionary 嗰個
呢個	這個	ni1 go3	this one	high	en.wiktionary 呢個
邊個	誰	bin1 go3	who; which one	high	en.wiktionary 邊個
邊度	哪裡	bin1 dou6	where	high	en.wiktionary 邊度
幾多	多少	gei2 do1	how much; how many	high	en.wiktionary 幾多
點樣	怎樣	dim2 joeng2	how; in what way	high	en.wiktionary 點樣
而家	現在	ji4 gaa1	now	high	en.wiktionary 而家
嗰陣	那時候	go2 zan6	at that time; then	high	en.wiktionary 嗰陣
得閒	有空	dak1 haan4	to be free; to have spare time	high	en.wiktionary 得閒
唔好	不要	m4 hou2	don't; do not	high	en.wiktionary 唔好
多謝	謝謝	do1 ze6	thank you (for a gift/favour)	high	en.wiktionary 多謝
唔該	謝謝	m4 goi1	thank you (for a favour); excuse me; please	medium	en.wiktionary 唔該
屋企	家	uk1 kei2	home	high	en.wiktionary 屋企
雪櫃	冰箱	syut3 gwai6	refrigerator	high	en.wiktionary 雪櫃
緊	正在	gan2	progressive aspect marker (V-ing)	medium	en.wiktionary 緊
嗰度	那裡	go2 dou6	there	high	en.wiktionary 嗰度
啱	對	ngaam1	correct; right	high	en.wiktionary 啱
唔使	不用	m4 sai2	no need; don't have to	high	en.wiktionary 唔使
嚿	塊	gau6	classifier: lump; piece; chunk	high	en.wiktionary 嚿
識	會	sik1	to know how to; can	high	en.wiktionary 識
識	認識	sik1	to know; to be acquainted with	high	en.wiktionary 識
